0,1,2,3,4,5,6,7,8
CSE2014 Software Engineering,CSE 2014 Software Engineering,CSE 3040 Agile Structures and Frameworks,CSE248 Object-Oriented Analysis and Design with UML,CSE227 Software Engineering and Project Management,,,,
CSE3145 Intrusion Detection and Prevention System,,,,,,,,
CSE2040 Cyber Threats for IoT and Cloud,,,,,,,,
CSE3097 Web Security,,,,,,,,
CSE2037 Cyber Forensics,CSE397 Digital and Mobile Forensics,,,,,,,
CSE2039 Ethical Hacking,,,,,,,,
CSE241 Wireless Sensor and Adhoc Networks,CSE 2059 Mobile Networking,,,,,,,
CSE262 Client Server Computing,,,,,,,,
CSE240 Information Security,CSE2060 Information Security and Management,,,,,,,
CSE3034 Big Data Security and Privacy,,,,,,,,
CSE3032 Streaming Data Analytics,,,,,,,,
CSE212/2007 Analysis of Algorithms,CSE255 Analysis of Algorithms Lab,,,,,,,
CSE3031 Web Intelligence and Analytics,,,,,,,,
CSE2024 NoSQL Databases,CSE 3068 Advanced Database Management System,,,,,,,
CSE2011 Data Communications and Computer Networks,CSE 2011 Data Communications and Computer Networks,CSE 3070 Advanced Computer Network,CSE211 Computer Networks,,,,,
CSE3028 Blockchain Security and Performances,,,,,,,,
CSE3023 Distributed Ledger Technology,,,,,,,,
CSE3020 Blockchain Technology and Applications,CSE3024 Emerging Areas in Blockchain,CSE3025 Industry Use Cases using Blockchain,CSE3022 Cryptocurrency Technology,CSE2019 Foundations of Blockchain Technology,,,,
